"Model","Y_feature","Site_Effect","Complexity","BIC","AIC"
"m2e","B6 Vertex Percentage","fixed","shash_full",1681.83893406054,1577.74020444403
"m3a","B6 Vertex Percentage","random","linear",1954.57933934679,1936.95478101504
"m3b","B6 Vertex Percentage","random","smooth_mean",1716.7609683344,1672.63492371121
"m3c","B6 Vertex Percentage","random","smooth_mean_var",1715.7784231258,1641.52616304673
"m3d","B6 Vertex Percentage","random","shash_constant",1676.83482631346,1592.17535525435
"m3e","B6 Vertex Percentage","random","shash_full",1686.33681641254,1577.35959317986
"m1a","Band_parcels B4","none","linear",10564.6736498668,10551.4039089762
"m1b","Band_parcels B4","none","smooth_mean",10343.1036983837,10302.9823416181
"m1c","Band_parcels B4","none","smooth_mean_var",10310.0074723857,10247.003421951
"m1d","Band_parcels B4","none","shash_constant",10315.2071421349,10244.5304688736
"m1e","Band_parcels B4","none","shash_full",10324.6632947473,10245.4536605388
"m2a","Band_parcels B4","fixed","linear",10536.9171881609,10519.2242003068
"m2b","Band_parcels B4","fixed","smooth_mean",10233.6366584834,10187.8654705653
"m2c","Band_parcels B4","fixed","smooth_mean_var",10197.9379898885,10124.1276711361
"m2d","Band_parcels B4","fixed","shash_constant",10202.5431810112,10120.292370309
"m2e","Band_parcels B4","fixed","shash_full",10234.6136793894,10121.8091541081
"m3a","Band_parcels B4","random","linear",10536.7611436044,10519.1957466962
"m3b","Band_parcels B4","random","smooth_mean",10233.5898848137,10187.8601155806
"m3c","Band_parcels B4","random","smooth_mean_var",10197.201944585,10123.8431514091
"m3d","Band_parcels B4","random","shash_constant",10201.4995839495,10120.0556039148
"m3e","Band_parcels B4","random","shash_full",10218.9591374709,10123.4767427777
"m1a","Band Parcels B5","none","linear",10537.4838293423,10524.2140884517
"m1b","Band Parcels B5","none","smooth_mean",10403.2849395489,10368.0512722397
"m1c","Band Parcels B5","none","smooth_mean_var",10342.7155481894,10287.0131709746
"m1d","Band Parcels B5","none","shash_constant",10353.8652804432,10289.4851897779
"m1e","Band Parcels B5","none","shash_full",10361.0732695389,10287.2691435651
"m2a","Band Parcels B5","fixed","linear",10519.7415158801,10502.0485280259
"m2b","Band Parcels B5","fixed","smooth_mean",10402.2881936967,10362.9491461818
"m2c","Band Parcels B5","fixed","smooth_mean_var",10354.5354968708,10290.3372951079
"m2d","Band Parcels B5","fixed","shash_constant",10365.5859494763,10292.7720062157
"m2e","Band Parcels B5","fixed","shash_full",10384.8470991478,10291.7647642413
"m3a","Band Parcels B5","random","linear",10519.5163909288,10502.0079729861
"m3b","Band Parcels B5","random","smooth_mean",10401.6631236187,10362.7495471515
"m3c","Band Parcels B5","random","smooth_mean_var",10342.7168476543,10287.0134076783
"m3d","Band Parcels B5","random","shash_constant",10353.9047321275,10289.4639696064
"m3e","Band Parcels B5","random","shash_full",10361.6109835978,10286.8846535316
"m1a","Band Parcels B6","none","linear",10576.57299142,10563.3032505294
"m1b","Band Parcels B6","none","smooth_mean",10258.1856269409,10219.8292651788
"m1c","Band Parcels B6","none","smooth_mean_var",10244.3490621717,10199.6316147452
"m1d","Band Parcels B6","none","shash_constant",10207.4455362886,10148.2476138971
"m1e","Band Parcels B6","none","shash_full",10215.1089938968,10142.3194903311
"m2a","Band Parcels B6","fixed","linear",10577.8714983382,10560.1785104841
"m2b","Band Parcels B6","fixed","smooth_mean",10173.2160213903,10128.2634800123
"m2c","Band Parcels B6","fixed","smooth_mean_var",10118.9810933134,10055.3155833215
"m2d","Band Parcels B6","fixed","shash_constant",10098.9840872307,10025.1038429196
"m2e","Band Parcels B6","fixed","shash_full",10136.5884962637,10024.0867616326
"m3a","Band Parcels B6","random","linear",10576.8005302324,10559.9840194059
"m3b","Band Parcels B6","random","smooth_mean",10173.1658968376,10128.2676248667
"m3c","Band Parcels B6","random","smooth_mean_var",10118.4453265124,10055.2532532775
"m3d","Band Parcels B6","random","shash_constant",10098.5370919942,10025.0798589618
"m3e","Band Parcels B6","random","shash_full",10109.6020945851,10016.7956253099
"m1a","Hemispheric Volume","none","linear",4011.3981484004,3998.1284075098
"m1b","Hemispheric Volume","none","smooth_mean",4016.81560348264,3994.1230717031
"m1c","Hemispheric Volume","none","smooth_mean_var",3876.37723884343,3832.60342608942
"m1d","Hemispheric Volume","none","shash_constant",3875.94289589348,3825.73185910131
"m1e","Hemispheric Volume","none","shash_full",3892.73102386053,3819.06169292347
"m2a","Hemispheric Volume","fixed","linear",4015.81497184941,3998.12198399528
"m2b","Hemispheric Volume","fixed","smooth_mean",4020.69309404722,3994.42273635386
"m2c","Hemispheric Volume","fixed","smooth_mean_var",3837.06321274002,3785.06206269157
"m2d","Hemispheric Volume","fixed","shash_constant",3843.35363132494,3784.83677702005
"m2e","Hemispheric Volume","fixed","shash_full",3868.01498309032,3779.62182647097
"m3a","Hemispheric Volume","random","linear",4013.11181723999,3997.62338570155
"m3b","Hemispheric Volume","random","smooth_mean",4018.18804820839,3993.77931485311
"m3c","Hemispheric Volume","random","smooth_mean_var",3831.63653874551,3783.70434790151
"m3d","Hemispheric Volume","random","shash_constant",3837.68481951848,3783.33239725292
"m3e","Hemispheric Volume","random","shash_full",3856.86615498037,3780.29824286426
"m1a","Gyrification Index","none","linear",-1931.55331952029,-1944.82306041089
"m1b","Gyrification Index","none","smooth_mean",-2266.09714074921,-2302.18990920892
"m1c","Gyrification Index","none","smooth_mean_var",-2644.52732978322,-2700.15818518804
"m1d","Gyrification Index","none","shash_constant",-2633.98187535868,-2698.18288938204
"m1e","Gyrification Index","none","shash_full",-2626.91758799513,-2707.24351153824
"m2a","Gyrification Index","fixed","linear",-1996.39752500444,-2014.09051285858
"m2b","Gyrification Index","fixed","smooth_mean",-2324.49622089969,-2365.13180392477
"m2c","Gyrification Index","fixed","smooth_mean_var",-2679.43505913623,-2743.2276760828
"m2d","Gyrification Index","fixed","shash_constant",-2670.01586874391,-2742.6437988803
"m2e","Gyrification Index","fixed","shash_full",-2657.56834334267,-2755.5542629022
"m3a","Gyrification Index","random","linear",-1996.46939839976,-2014.10374970838
"m3b","Gyrification Index","random","smooth_mean",-2324.54037546598,-2365.14453897944
"m3c","Gyrification Index","random","smooth_mean_var",-2679.91821746128,-2743.31875471971
"m3d","Gyrification Index","random","shash_constant",-2670.45364262606,-2742.72294186577
"m3e","Gyrification Index","random","shash_full",-2661.90531250321,-2756.68568125223
"m1a","Hull Area","none","linear",9925.03792614303,9911.76818525243
"m1b","Hull Area","none","smooth_mean",9931.44008442844,9909.35351435804
"m1c","Hull Area","none","smooth_mean_var",9842.51570350118,9802.40382124358
"m1d","Hull Area","none","shash_constant",9830.55056664451,9783.57350119838
"m1e","Hull Area","none","shash_full",9846.03465190556,9779.2993366149
"m2a","Hull Area","fixed","linear",9930.38943417128,9912.69644631715
"m2b","Hull Area","fixed","smooth_mean",9936.47517894493,9908.61987364452
"m2c","Hull Area","fixed","smooth_mean_var",9791.72842273975,9743.90482065375
"m2d","Hull Area","fixed","shash_constant",9796.82383650202,9742.2328077802
"m2e","Hull Area","fixed","shash_full",9819.45391537405,9736.83546082976
"m3a","Hull Area","random","linear",9925.20692639204,9911.7640277769
"m3b","Hull Area","random","smooth_mean",9933.71686406404,9908.41245380106
"m3c","Hull Area","random","smooth_mean_var",9787.28276586083,9743.69854216361
"m3d","Hull Area","random","shash_constant",9790.89301806586,9740.8301917184
"m3e","Hull Area","random","shash_full",9809.11999157399,9736.14563436609
"m1a","B4 Surface Area","none","linear",8963.84113107898,8950.57139018838
"m1b","B4 Surface Area","none","smooth_mean",8803.56108035712,8768.58930351381
"m1c","B4 Surface Area","none","smooth_mean_var",8690.87735047213,8637.75440392908
"m1d","B4 Surface Area","none","shash_constant",8683.12174520863,8621.36578344128
"m1e","B4 Surface Area","none","shash_full",8694.58855406998,8623.40122571261
"m2a","B4 Surface Area","fixed","linear",8957.45183171086,8939.75884385673
"m2b","B4 Surface Area","fixed","smooth_mean",8738.13150228307,8697.13491103864
"m2c","B4 Surface Area","fixed","smooth_mean_var",8589.11945394589,8524.07926651904
"m2d","B4 Surface Area","fixed","shash_constant",8601.74155782139,8528.00642547667
"m2e","B4 Surface Area","fixed","shash_full",8624.56782677315,8532.05996008129
"m3a","B4 Surface Area","random","linear",8957.02997675242,8939.68156796765
"m3b","B4 Surface Area","random","smooth_mean",8738.04729826406,8697.13024308912
"m3c","B4 Surface Area","random","smooth_mean_var",8588.83038675089,8524.09844303892
"m3d","B4 Surface Area","random","shash_constant",8601.48026240266,8528.02957456449
"m3e","B4 Surface Area","random","shash_full",8618.76772451474,8530.81513281651
"m1a","B5 Surface Area","none","linear",9274.68758577596,9261.41784488536
"m1b","B5 Surface Area","none","smooth_mean",9093.54135310958,9061.71996780544
"m1c","B5 Surface Area","none","smooth_mean_var",8875.54875768164,8822.71966515396
"m1d","B5 Surface Area","none","shash_constant",8872.41287713945,8814.8290397431
"m1e","B5 Surface Area","none","shash_full",8891.45709993961,8810.56964284841
"m2a","B5 Surface Area","fixed","linear",9262.71383444956,9245.02084659542
"m2b","B5 Surface Area","fixed","smooth_mean",9093.36516055633,9057.24919256319
"m2c","B5 Surface Area","fixed","smooth_mean_var",8861.26494411234,8798.5281961671
"m2d","B5 Surface Area","fixed","shash_constant",8863.58398962136,8796.81152643437
"m2e","B5 Surface Area","fixed","shash_full",8866.50312202584,8759.1243795384
"m3a","B5 Surface Area","random","linear",9262.42274358362,9244.96727776905
"m3b","B5 Surface Area","random","smooth_mean",9092.5466125738,9057.08611104162
"m3c","B5 Surface Area","random","smooth_mean_var",8854.8657070691,8796.61336806276
"m3d","B5 Surface Area","random","shash_constant",8857.29489154595,8794.67289968884
"m3e","B5 Surface Area","random","shash_full",8860.1304370339,8757.65751862826
"m1a","B6 Surface Area","none","linear",9021.87104655931,9008.60130566871
"m1b","B6 Surface Area","none","smooth_mean",8654.98991179927,8618.27026271763
"m1c","B6 Surface Area","none","smooth_mean_var",8486.16581538153,8439.99300988809
"m1d","B6 Surface Area","none","shash_constant",8445.66872104222,8393.48947690487
"m1e","B6 Surface Area","none","shash_full",8449.93437224474,8375.05887765277
"m2a","B6 Surface Area","fixed","linear",9028.21512346896,9010.52213561483
"m2b","B6 Surface Area","fixed","smooth_mean",8621.07441800068,8578.57337964636
"m2c","B6 Surface Area","fixed","smooth_mean_var",8368.79262987115,8311.46054858795
"m2d","B6 Surface Area","fixed","shash_constant",8365.2179615343,8297.56786221989
"m2e","B6 Surface Area","fixed","shash_full",8377.06217301413,8283.3469455796
"m3a","B6 Surface Area","random","linear",9021.87284113041,9008.60183320723
"m3b","B6 Surface Area","random","smooth_mean",8620.97748389667,8578.57457667948
"m3c","B6 Surface Area","random","smooth_mean_var",8368.4041578212,8311.46614046818
"m3d","B6 Surface Area","random","shash_constant",8365.00778229478,8297.61072358038
"m3e","B6 Surface Area","random","shash_full",8373.98245213107,8281.9490150246
"m1a","B4 Surface Area Percentage","none","linear",2956.97694077902,2943.70719988842
