"Group1","Group2","Feature","Sample_size_G1","Sample_size_G2","Median_centile_G1","Median_centile_G2","P_lower_CI","P_upper_CI","P_uncorrected","Cohens_D","Cohens_D_lower_CI","Cohens_D_upper_CI","Mean_group_difference","P_corrected_BH_FDR","Significance"
"dHCP","MarsFet","Surface Area cm2",165,96,0.525799262897977,0.401472000495589,0.0503635432764601,0.562331624410525,0.0230468509520853,0.307753458360587,0.0547789249096569,0.560727991811517,0.311574201207325,0.0378626837069972,"*"
"dHCP","MarsFet","Folding Power",165,96,0.480737650026478,0.58172322671283,-0.608343934812534,-0.0673386204689766,0.0144415345666942,-0.402163206799308,-0.656110766668536,-0.148215646930081,-0.416382174475205,0.0255504073103051,"*"
"dHCP","MarsFet","B4 Vertex Percentage",165,96,0.578461049275731,0.238531534044291,0.557053548028297,1.15584942504782,6.48583322809277e-08,0.806540832147773,0.545607063063291,1.06747460123225,0.911265800406746,1.86467705307667e-07,"***"
"dHCP","MarsFet","B5 Vertex Percentage",165,96,0.505252070595566,0.545490439161373,-0.274085439728746,0.299950230963738,0.962702743425643,-0.0117630441604573,-0.263358173727063,0.239832085406149,-0.0128486289022516,0.962702743425643,"NS"
"dHCP","MarsFet","B6 Vertex Percentage",165,96,0.313878659742915,0.791998091123691,-1.48814061353111,-0.915244443988135,7.94339262707295e-15,-1.18662583049029,-1.45803272586886,-0.915218935111714,-1.25115215992747,6.0899343474226e-14,"***"
"dHCP","MarsFet","Band_parcels B4",165,96,0.553457005424348,0.258679916073166,0.660114967092387,1.11911348462831,6.38355585190876e-13,1.0012208359103,0.735370392881167,1.26707127893944,0.9080406945888,3.67054461484754e-12,"***"
"dHCP","MarsFet","Band Parcels B5",165,96,0.531601999957935,0.438751878045794,-0.02489448070666,0.589506052204744,0.0710713125028821,0.276256282095544,0.0235494535961939,0.528963110594894,0.310124706044402,0.108976012504419,"NS"
"dHCP","MarsFet","Band Parcels B6",165,96,0.362363916845295,0.762047157540677,-1.2456479771635,-0.631311243255735,7.6698121166716e-09,-0.831819732696926,-1.09333689825089,-0.570302567142958,-0.901323613489624,2.52008112404924e-08,"***"
"dHCP","MarsFet","Hemispheric Volume",165,96,0.460437692403691,0.505411179831628,-0.46817837068917,0.0944650226462547,0.197714192580507,-0.172004563927963,-0.424030004246261,0.0800208763903341,-0.181532743490869,0.267495672314804,"NS"
"dHCP","MarsFet","Gyrification Index",165,96,0.524103927560234,0.295800500608172,0.430627940127698,0.996237646209575,3.03304044169618e-06,0.626826119942427,0.369550635507774,0.88410160437708,0.856810288799566,6.97599301590121e-06,"***"
