"Model","Y_feature","Site_Effect","Complexity","BIC","AIC","LogScore","LogScore_Censored","W_statistic","Skewness","Kurtosis","Mean_Z","SD_Z","norm_BIC","norm_AIC","norm_LogScore","norm_W","norm_Skew","norm_Kurt","norm_MeanZ","norm_SDZ","composite_score"
"m1a","Folding Power","none","linear",7629.48785846737,7616.21811757677,-6.30231246827225,-5.99328608951627,0.933996935274558,0.897727548044054,0.321942434974127,0.112761376948947,1.11471616928488,0.00392250817110606,0.000127342055669666,0.000469999258310849,0.459461342539129,0.52025189307957,0.956999925957827,0.0563533688334973,0.433959628203894,0.277086035472265
"m1b","Folding Power","none","smooth_mean",7029.96689752234,6992.62503192635,-5.73084639102229,-5.4149732340084,0.925822663926354,0.868224164236628,3.80262035468149,0.0725377604259876,1.06621743433262,0.517302797374771,0.504560820250968,0.503589403200246,0.387127018266055,0.538461236522297,0.333695200954861,0.392965791032005,0.673265404670697,0.473377769349991
"m1c","Folding Power","none","smooth_mean_var",6585.15680202036,6523.3058478239,-5.44316387380353,-5.0382202353152,0.882074673946084,1.74065696646835,5.66605162879925,0.119495342032383,1.20266428862816,0.898201465387241,0.88419990520595,0.756865428409198,0,0,0,0,0,0.374523296010521
"m1d","Folding Power","none","shash_constant",6524.65614300005,6458.29969955,-5.28341283877209,-5.08477251613761,0.980104005035858,0.472744570530067,0.933634762088434,0.0813905847798343,1.08516227153179,0.950009238339662,0.936784319998943,0.897510426815585,0.867463914673922,0.782549297518896,0.847460713616554,0.318880691117001,0.579786492685746,0.819575725947496
"m1e","Folding Power","none","shash_full",6533.2564366307,6450.98893604501,-5.25969144004038,-5.05747429430974,0.983949511055556,0.364608197879373,0.538512281612189,0.082660896625293,1.0701263215738,0.942644656416822,0.942698102476565,0.918394774051027,0.901492890172029,0.849290535103706,0.918217535912953,0.308250052099169,0.653977905784571,0.848561945497737
"m2a","Folding Power","fixed","linear",7634.06852881547,7616.37554096134,-6.30284631497018,-5.99487001554765,0.937857664815192,0.871424894775157,0.291780690380568,0.114399461485809,1.11637509663843,0,0,0,0.493625031341092,0.536485761369206,0.96240116053143,0.0426450141060165,0.425774035345958,0.28374512716718
"m2b","Folding Power","fixed","smooth_mean",7024.37547109698,6982.39346130183,-5.70590833829239,-5.39373972974278,0.926080712863493,0.724252422731513,3.87536444369221,0.0722813183838712,1.05208578442649,0.522090833660922,0.512837285908285,0.525544894041138,0.389410499533343,0.627319887591818,0.32066850459215,0.395111833193606,0.742994758578035,0.492745265956133
"m2c","Folding Power","fixed","smooth_mean_var",6488.7747383884,6414.6318306677,-5.25285978006034,-5.06097411283386,0.949789087733125,1.04646395153322,3.08166073157274,0.0879037208699209,1.11743259427045,0.980735112957168,0.972107891559554,0.924409375501444,0.599206480453928,0.42845251605731,0.462801527362052,0.264375335683804,0.420556058172104,0.689539486171734
"m2d","Folding Power","fixed","shash_constant",6466.60411341941,6391.29288362999,-5.183113428092,-5.06671830767211,0.99103900757811,0.212840043215051,0.113541278888007,0.0651455966174052,1.05075062305048,0.999720207057071,0.990987103825621,0.98581414548937,0.964228015854865,0.942961094046711,0.994319502282051,0.454827313689342,0.749582803196276,0.923123992109267
"m2e","Folding Power","fixed","shash_full",6489.5284189436,6384.19089505941,-5.16700048439293,-5.03680832787823,0.995081485447428,0.120423710930008,0.0818200642289676,0.0624126709950553,1.04416082983333,0.98008972310994,0.996732005235209,1,1,1,1,0.477697875636512,0.782098611786753,0.941171395546757
"m3a","Folding Power","random","linear",7631.00432128477,7615.83382535588,-6.30225077417678,-5.99354692295307,0.935514878997177,0.887323100041818,0.309816947258948,0.113507058516908,1.11549356116661,0.00262393452567611,0.000438201598673804,0.000524314812247179,0.472893663143992,0.526673467236668,0.95917130577526,0.0501131124747272,0.430123767988986,0.279723249265938
"m3b","Folding Power","random","smooth_mean",7023.83185385434,6982.29657450096,-5.70729299483083,-5.3946023839244,0.925861339637106,0.738470708512826,3.87865118583792,0.0723746213919375,1.05331837864489,0.522556342617941,0.51291565904468,0.524325840802423,0.387469260563124,0.618544431506892,0.320079929045505,0.394331024448433,0.736912807846871,0.490739761047656
"m3c","Folding Power","random","smooth_mean_var",6488.51910114825,6414.62731225569,-5.25526442569597,-5.04719546238809,0.949175289585536,1.0534692053062,3.09627423974908,0.0899132840707944,1.11944103383236,0.980954019599019,0.972111546568462,0.922292322666552,0.593774965844901,0.424128907867541,0.460184603617511,0.247558251714716,0.41064587826075,0.685364376195655
"m3d","Folding Power","random","shash_constant",6466.2773736954,6391.2369670865,-5.18497719505118,-5.06784797737152,0.990790101850393,0.216160785458171,0.133133943301644,0.0667206155984829,1.05229930682384,1,0.991032335527464,0.984173282874913,0.962025443068234,0.940911548259541,0.990810932806182,0.441646724770228,0.741941181755026,0.920284319837342
"m3e","Folding Power","random","shash_full",6476.37457192876,6380.15091946826,-5.17021955624683,-5.03801630035251,0.994904940326207,0.12675559809931,0.131293078555219,0.0652712820258606,1.04748825484663,0.991353592473201,1,0.997165925368351,0.998437747965137,0.996091990367648,0.991140586891106,0.453775511951151,0.765680203611211,0.93800620993073
"m1a","B4 Vertex Percentage","none","linear",2896.35082938522,2883.08108849462,-2.39432365377215,-2.36824398034275,0.979237200732928,-0.346209117730808,-0.549131622851995,-0.0369245827834449,1.06256249246227,0,0,0,0.252507897971004,0.161798207756702,0.0336206316300107,0.581486017733733,0.435307035656904,0.14630294253717
"m1b","B4 Vertex Percentage","none","smooth_mean",2375.76217535861,2337.3367481285,-1.91853676928717,-1.88675304165846,0.987663723564457,-0.332492311098546,0.00842839650462526,0.0500551973307378,1.04171303603439,0.863036368733085,0.826744080380426,0.861754006963281,0.616879792993181,0.201052455696469,1,0.4326598057757,0.623495531540481,0.707173519207658
"m1c","B4 Vertex Percentage","none","smooth_mean_var",2369.15951361907,2314.0224358596,-1.92710068410089,-1.89209209528825,0.996523822863187,-0.115638265785708,-0.0548763525354566,0.0714486979395795,1.07904826894457,0.873982318414445,0.862062760265445,0.846242886025157,1,0.8216373111708,0.916985243986107,0.190179635128074,0.286505387498388,0.796165833206418
"m1d","B4 Vertex Percentage","none","shash_constant",2354.31985688922,2290.10440129091,-1.94685182644671,-1.91489620974903,0.989527033081168,0.257669435232676,-0.316662184789416,0.085275255305292,1.11079028146746,0.898583629561573,0.898296014614427,0.81046925162363,0.697451297181879,0.415177783810169,0.449104870993352,0.0334654044461837,0,0.615139426470596
"m1e","B4 Vertex Percentage","none","shash_full",2365.21389890353,2288.03951088532,-1.93679402637225,-1.91023212986742,0.98902199771714,0.254016914317307,-0.429574645779661,0.0802940621738136,1.10920880890083,0.880523392581511,0.901424101876509,0.828686125182008,0.675613025771123,0.42563043255422,0.24730050324439,0.0899236990765861,0.0142744701581965,0.598188705537973
"m2a","B4 Vertex Percentage","fixed","linear",2895.11340536703,2877.42041751289,-2.39205785109697,-2.36923878999343,0.973397662622382,-0.402747068289705,-0.567942852260633,-0.0341409387540859,1.06640652351645,0.00205141222917904,0.00857530876450663,0.00410386372133583,0,0,0,0.61303665040496,0.400610571280486,0.0780095570815031
"m2b","B4 Vertex Percentage","fixed","smooth_mean",2304.62743674841,2261.52367471465,-1.84220915167474,-1.82889261340426,0.99084448262967,-0.246446119514892,-0.359572763260331,0.0556961450540046,1.02914928941043,0.980964153032782,0.941592746732695,1,0.75441923024057,0.44729625202973,0.372412342266931,0.36872366032848,0.736896693244742,0.757080129623959
"m2c","B4 Vertex Percentage","fixed","smooth_mean_var",2298.33259937866,2236.99850343122,-1.85351525881161,-1.83590028772108,0.996106800089988,-0.0533121064147642,-0.365782909092994,0.0781657299663744,1.06762721742965,0.991399788814195,0.978745748017672,0.97952216959721,0.981967487518152,1,0.361313172676627,0.11404683657945,0.389592511780769,0.812786742941648
"m2d","B4 Vertex Percentage","fixed","shash_constant",2293.79726629785,2224.26356081093,-1.86579283730592,-1.84628587077457,0.990663943523236,0.213431593383251,-0.455971402006185,0.0882278355038393,1.09007258891982,0.998918503182587,0.998037818766863,0.95728479230017,0.746612525428598,0.541775997143092,0.200122533211684,0,0.186999186871161,0.678635812950642
"m2e","B4 Vertex Percentage","fixed","shash_full",2321.41041912085,2226.64375641055,-1.86030602925856,-1.84464629334306,0.989911617292293,0.213677866237014,-0.484921803244667,0.0863105948559382,1.09610467240052,0.953141179844279,0.994432077989391,0.967222600538345,0.714081131409461,0.541071222633861,0.148380525582292,0.0217305642482601,0.132553224636914,0.659191590153146
"m3a","B4 Vertex Percentage","random","linear",2894.40745537666,2877.29058234948,-2.39170098276905,-2.3688500098926,0.974192314594771,-0.396327032467574,-0.565590517684217,-0.0345297992413557,1.0659577457967,0.00322174222288441,0.00877199509698434,0.00475023023872087,0.0343616045255686,0.0183726201513533,0.00420424271833719,0.608629192315921,0.404661267007682,0.0874372985322283
"m3b","B4 Vertex Percentage","random","smooth_mean",2304.55964297631,2261.50869514251,-1.8423897483702,-1.82887043966174,0.990836684065789,-0.247750781372099,-0.355285022230527,0.0556679671401361,1.02931980218532,0.981076542133938,0.941615439176165,0.999672899924251,0.754082011964797,0.443562619166533,0.380075667111703,0.369043037016208,0.735357634289113,0.757267886591239
"m3c","B4 Vertex Percentage","random","smooth_mean_var",2297.69636901392,2236.83343001477,-1.85291084227005,-1.83531857628771,0.99610879469922,-0.0581510221173405,-0.360125868616414,0.0775019235205858,1.06727162703308,0.992454537010136,0.978995816520052,0.980616900018645,0.98205373656301,0.986152170702633,0.371423797019543,0.121570612290345,0.392802092908857,0.813637439182014
"m3d","B4 Vertex Percentage","random","shash_constant",2293.14490100607,2224.07407408234,-1.86539735978856,-1.8453407602753,0.990773400563989,0.211502638471885,-0.450869805749973,0.0876754519640898,1.08994613085635,1,0.998324870815929,0.958001088495712,0.751345565397753,0.547296208689801,0.209240432139456,0.00626087602166703,0.18814060525007,0.681935593038592
"m3e","B4 Vertex Percentage","random","shash_full",2309.35025905069,2222.96829988536,-1.85954258967698,-1.84024970687369,0.990410849774457,0.209517850208878,-0.482080026802166,0.0858569802736957,1.0962381547416,0.973134617413044,1,0.968605356431687,0.735668479977728,0.552976202049244,0.153459530089264,0.0268719641211241,0.13134840468953,0.669335060768489
"m1a","B5 Vertex Percentage","none","linear",2039.01324691703,2025.74350602643,-1.70943070562814,-1.65537543886321,0.994867958035638,-0.0634896939807068,0.590628852212164,-0.0812543834875193,1.07423636278309,0.885242046599279,0,0.775159734513265,1,1,0.992256113286032,0.317000244741228,0.554181114985291,0.752382467200637
"m1b","B5 Vertex Percentage","none","smooth_mean",2032.90726384027,2003.32005571441,-1.71557279356063,-1.63264526675408,0.987361358035728,-0.277771365733146,1.13593389570986,-0.108564588564025,1.10003361424819,1,0.8710902674204,0.702107424561186,0.841701624627647,0.784800796591854,0.820730323919203,0.0874389265363407,0.399258359431988,0.742926245078537
"m1c","B5 Vertex Percentage","none","smooth_mean_var",2039.24907114841,2005.15256482636,-1.71253961480138,-1.63274389429322,0.98868131511941,-0.244492204655164,1.02482220631083,-0.10691209686627,1.09715824362344,0.880809884600948,0.799902255309723,0.738183221146417,0.869536737982644,0.818222455548981,0.855680523737281,0.101329271606863,0.416526103673097,0.73988515112155
"m1d","B5 Vertex Percentage","none","shash_constant",2043.92620866637,2000.8495093694,-1.7277948537371,-1.63303415839586,0.97928997089601,-0.564109029108306,1.29649363853183,-0.109971192409256,1.12067285275652,0.792906147792757,0.96706429668013,0.556741591626656,0.671493078650253,0.49723706535835,0.77022623092306,0.0756154403340699,0.275311523213417,0.614355137786511
"m1e","B5 Vertex Percentage","none","shash_full",2065.05480006173,2004.18236549979,-1.71763799848241,-1.63002484635624,0.982879048080958,-0.492931500100329,0.990826949806504,-0.106901967566424,1.11359461766409,0.395808108657964,0.837591869488855,0.67754444341885,0.747179153233956,0.568719369084134,0.866373737152714,0.101414415435646,0.31781914021509,0.603026949875631
"m2a","B5 Vertex Percentage","fixed","linear",2042.10657281074,2024.4135849566,-1.70821088945806,-1.65306356656596,0.993910029673452,-0.0977938714195707,0.587104060888764,-0.0834683444337192,1.07547157231601,0.827105012103714,0.0516638289043483,0.789667893614962,0.979799309479791,0.965548935669384,0.993364836965207,0.298390359101775,0.546763190452358,0.742403468804962
"m2b","B5 Vertex Percentage","fixed","smooth_mean",2038.1974082021,2004.51445862642,-1.71516464904385,-1.63176497043561,0.986965386628081,-0.294549708526139,1.14159508781218,-0.10893750790089,1.10011522721871,0.900575200991332,0.8246909516348,0.706961783546783,0.833351422069209,0.767950610693863,0.818949595030508,0.0843042794578964,0.398768241083556,0.720538476048424
"m2c","B5 Vertex Percentage","fixed","smooth_mean_var",2048.79515003589,2005.61581176683,-1.70601878924338,-1.62984516277225,0.987761824310199,-0.305941856165139,1.0224784396293,-0.109195767662118,1.09304122909218,0.701397583198099,0.781906367270819,0.815740132581399,0.850146614455399,0.756509683072889,0.856417755924909,0.0821334260695527,0.441250413419743,0.717124155475633
"m2d","B5 Vertex Percentage","fixed","shash_constant",2054.03952468201,2001.78675700638,-1.72225227903568,-1.62884509747657,0.977491441905084,-0.606574147032257,1.37082487846859,-0.111747540745467,1.11737350028728,0.602832996023562,0.930654766327934,0.622663455571066,0.63356589226401,0.454590116250985,0.74684532741447,0.0606839938469664,0.295125447063728,0.58156554803819
"m2e","B5 Vertex Percentage","fixed","shash_full",2086.11475748944,2009.67637805475,-1.77460454139367,-1.62710448676331,0.947447382920743,-1.05922605526283,3.74515310779873,-0.118966929141481,1.16651686431059,0,0.624164372867599,0,0,0,0,0,0,0.0624164372867599
