"Family","BIC","AIC"
"BCCG",3223.23562494834,3187.90501989741
"ZIBNB",3259.84465576901,3237.37639183587
"LNO",3214.98187861605,3186.99857918668
"NOF",3256.12722336383,3220.26240372587
"BCPE",3228.77887305012,3189.78202206271
"NET",3259.43272556342,3219.81777093869
"ZIBNB",3259.84465576901,3237.37639183587
"BNB",3254.1016525812,3235.37639183587
"BCT",3228.97897985152,3189.90522199756
"GB2",3233.96814828913,3197.69938740247
"GG",3220.7103345854,3188.93275523768
"GT",3259.55979246923,3214.44907807351
"JSU",3238.45421794108,3193.22114774933
"SEP1",3247.46052384811,3202.91548147559
"SEP2",3253.81729508738,3209.4365158492
"SEP3",3357.31513555959,3334.85315783472
"SEP4",3356.47164734582,3334.01030452869
"SHASH",3243.61421317677,3198.50144527276
"SHASHo",3244.17058052948,3199.50067977103
"ST1",3245.79581232845,3200.5031210554
"ST2",3249.72258273838,3204.33064133526
"ST3",3357.52821887429,3335.06607296679
"ST4",3244.66761539853,3199.08113800266
"ST5",3245.12057088397,3199.9380963888
"TF",3256.79939589238,3214.55790132549
"PE",3257.73592233577,3216.72288688445
"PE2",3266.8744855012,3219.1559025316
